course_title,course_id,course_organisation,course_certification,course_difficulty,course_rating,course_reviews,course_url,course_skills,course_description
The fundamentals of hotel distribution,hotel-distribution,ESSEC Business School,Not specified,Intermediate,4.7,No reviews,https://www.coursera.org/learn/hotel-distribution,Hotel Management  revenue management  distribution (business)  Leadership and Management  Studentized Residual  Chi-Squared Distribution  hospitality management  revenue  Marketing  hotel business business-strategy,"In today�s hotel sector an increasingly complex network of traditional and web based channels have to be managed to insure hotel success. Key questions include: how should you distribute over the web? What should you include on your brand.com website so people book through it?  How can you maximise the potential of online travel agents (OTAs)?  With the distribution environment both highly complex and constantly evolving, this course will give you comprehensive foundation of current industry practices to help jump start your career in this fascinating domain.  Acknowledgements: Claire Bertrand, Vincent Chatain, Jessica Moses, Benjamin Six (ESSEC Business School), Emilie Dupr� (Image-In), Gregory Halidy (Triplay)"
Marketing in a Digital World,marketing-digital,University of Illinois at Urbana-Champaign,Not specified,Conversant,4.6,No reviews,https://www.coursera.org/learn/marketing-digital,pricing  Strategy  digital strategy  Marketing  promotion (marketing)  marketing strategy  Digital Marketing  product placement  marketing mix  market (economics) business marketing,"This course examines how digital tools, such as the Internet, smartphones, and 3D printing, are revolutionizing the world of marketing by changing the roles and practices of both firms and consumers. Marketing in a Digital World is one of the most popular courses on Coursera with over 250,000 Learners and is rated by Class Central as one of the Top 50 MOOCs of All Time (https://www.class-central.com/report/top-moocs/). The course was initially launched in 2015, and has been updated in April 2020.   This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu."
Bugs 101: Insect-Human Interactions,bugs-101,University of Alberta,Not specified,Intermediate,4.9,No reviews,https://www.coursera.org/learn/bugs-101,butterfly  biology  veterinary  ecosystem  Entomology  entomophagy  agriculture  plant  insect flight  animal life-sciences basic-science,"Of all the animals on earth, which are the strongest for their size? What about the fastest? Who were the first animals to evolve flight? Insects take all of these titles and more! As the most abundant animals on the planet, insects and other arthropods affect our lives in so many ways. From beneficial interactions like pollination and biological pest control, to the transmission of life threatening diseases; this course will teach you about the big ways that these little arthropods impact our lives.   In Bugs 101: Insect-Human Interactions, you will be plunged into the diverse (and sometimes alien) world of arthropods to learn how they work, what they do, and how insects and humans interact every day.  After completing this course, you will be able to:  Describe the evolutionary relationships between insects and their arthropod relatives Inventory major groups of insects and their diversity  Demonstrate evolutionary adaptations that make insects successful  Discuss insect biology and human-insect interactions Evaluate positive and negative interactions between insects and humans Propose practical and symbolic roles insects play in human societies"
"Penetration Testing, Incident Response and Forensics",ibm-penetration-testing-incident-response-forensics,IBM,Not specified,Beginner,4.6,No reviews,https://www.coursera.org/learn/ibm-penetration-testing-incident-response-forensics,incident management  penetration test  scripting language  Python Programming  Computer Security Incident Management  Leadership and Management  security  Computer Programming  digital forensics  forensics information-technology security,"This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program.   You will learn about the different phases of penetration testing, how to gather data for your penetration test and popular penetration testing tools.  Furthermore, you will learn the phases of an incident response, important documentation to collect, and the components of an incident response policy and team.  Finally, you will learn key steps in the forensic process and important data to collect.    This course also gives you a first look at scripting and the importance to a system analyst.  This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the fifth course in a series of courses to acquire the skills to work in the Cybersecurity field as a Cybersecurity Analyst.  The completion of this course also makes you eligible to earn the Penetration Testing, Incident Response and Forensics IBM digital badge.  More information about the badge can be found https://www.youracclaim.com/org/ibm/badge/penetration-testing-incident-response-and-forensics.   In this course you will learn to: �\tDescribe penetration testing tools and the benefits to an organization �\tDescribe a deep dive into incident response techniques and tools �\tDescribe digital forensics and digital evidence. �\tDiscuss the power of scripting."
"Penetration Testing, Incident Response and Forensics",ibm-penetration-testing-incident-response-forensics,IBM,Not specified,Beginner,4.6,No reviews,https://www.coursera.org/learn/ibm-penetration-testing-incident-response-forensics,incident management  penetration test  scripting language  Python Programming  Computer Security Incident Management  Leadership and Management  security  Computer Programming  digital forensics  forensics information-technology security,"This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program.   You will learn about the different phases of penetration testing, how to gather data for your penetration test and popular penetration testing tools.  Furthermore, you will learn the phases of an incident response, important documentation to collect, and the components of an incident response policy and team.  Finally, you will learn key steps in the forensic process and important data to collect.    This course also gives you a first look at scripting and the importance to a system analyst.  This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the fifth course in a series of courses to acquire the skills to work in the Cybersecurity field as a Cybersecurity Analyst.  The completion of this course also makes you eligible to earn the Penetration Testing, Incident Response and Forensics IBM digital badge.  More information about the badge can be found https://www.youracclaim.com/org/ibm/badge/penetration-testing-incident-response-and-forensics.   In this course you will learn to: �\tDescribe penetration testing tools and the benefits to an organization �\tDescribe a deep dive into incident response techniques and tools �\tDescribe digital forensics and digital evidence. �\tDiscuss the power of scripting."
"Sleep: Neurobiology, Medicine, and Society",sleep,University of Michigan,Not specified,Intermediate,4.7,No reviews,https://www.coursera.org/learn/sleep,medicine  sleep apnea  sleep deprivation  biology  sleep (system call)  neurobiology  molecular biology  sleep  cognitive behavioral therapy for insomnia  Sleep Medicine life-sciences basic-science,"The objective of this course is to give students the most up-to-date information on the biological, personal, and societal relevance of sleep. Personal relevance is emphasized by the fact that the single best predictor of daytime performance is the quality of the previous night's sleep. The brain actively generates sleep, and the first section of the course is an overview of the neurobiological basis of sleep control. The course provides cellular-level understanding of how sleep deprivation, jet lag, and substances such as alcohol, ,caffeine, and nicotine alter sleep and wakefulness. The second section of the course covers sleep-dependent changes in physiology and sleep disorders medicine. Particular emphasis will be placed on disorders of excessive sleepiness, insomnia, and sleep-dependent changes in autonomic control. Chronic sleep deprivation impairs immune function and may promote obesity. Deaths due to all causes are most frequent between 4:00 and 6:00 a.m., and this second section of the class highlights the relevance of sleep for preventive medicine. The societal relevance of sleep will be considered in the final section of the class. In an increasingly complex and technologically oriented society, operator-error by one individual can have a disastrous negative impact on public health and safety.  Fatigue-related performance decrements are known to have contributed as causal factors to nuclear power plant failures, transportation disasters, and medical errors."
Building Containerized Applications on AWS,containerized-apps-on-aws,Amazon Web Services,Not specified,Beginner,4,No reviews,https://www.coursera.org/learn/containerized-apps-on-aws,Kubernetes  microservices  docker (software)  subnetwork  command-line interface  node.js  macro (computer science)  service discovery  virtual machine  Operating Systems information-technology cloud-computing,"This course introduces you to container technologies and how they can be used to modernize your applications, as well as exploring how different AWS services can be used to manage and orchestrate those containers.  Container technologies have existed for years, and are still gaining popularity. Two of the most prevalent options are Docker and Kubernetes - each with its own distinct set of features. Regardless of which technology you choose, one of the biggest challenges with containers is their orchestration. Unlike traditional, monolithic applications where you can only scale at a macro level - an executable, for example - containerized applications scale at the container level. When coupled with a microservices approach, each container can contain the code necessary to execute a single task or function. While this provides a number of benefits, a single application can consist of hundreds of containerized microservices. How do you handle starting, stopping, scaling out and scaling in all of these containers?  AWS offers a number of services that help with container orchestration, including Amazon Elastic Container Service (ECS), Amazon Elastic Kubernetes Service (EKS), Amazon Lightsail, and Amazon Elastic Container Registry (ECR). Throughout this course, expert instructors will dive deep into these services as well as general container technologies and capabilities.  This course uses a combination of video-based lectures, delivered by AWS technical trainers, demonstrations, and hands-on lab exercises to enable you to deploy and manage a containerized application."
Introduction to Git and GitHub,introduction-git-github,Google,Not specified,Advanced,4.8,No reviews,https://www.coursera.org/learn/introduction-git-github,version control  version control systems  Python Programming  Computer Programming  software  github  code review  Collaboration  git (software)  software versioning information-technology cloud-computing,"In this course, you�ll learn how to keep track of the different versions of your code and configuration files using a popular version control system (VCS) called Git. We'll also go through how to setup an account with a service called GitHub so that you can create your very own remote repositories to store your code and configuration.   Throughout this course, you'll learn about Git's core functionality so you can understand how and why it�s used in organizations. We�ll look into both basic and more Advanced features, like branches and merging. We'll demonstrate how having a working knowledge of a VCS like Git can be a lifesaver in emergency situations or when debugging. And then we'll explore how to use a VCS to work with others through remote repositories, like the ones provided by GitHub.  By the end of this course, you'll be able to store your code's history in Git and collaborate with others in GitHub, where you�ll also start creating your own portfolio!   In order to follow along and complete the assessments, you�ll need a computer where you can install Git or ask your administrator to install it for you."
Using Python to Interact with the Operating System,python-operating-system,Google,Not specified,Advanced,4.6,No reviews,https://www.coursera.org/learn/python-operating-system,unix  file system  unit testing  regular expression  unix shells  Computer Programming  bash (unix shell)  command-line interface  test automation  Python Programming information-technology support-and-operations,"By the end of this course, you�ll be able to manipulate files and processes on your computer�s operating system. You�ll also have learned about regular expressions -- a very powerful tool for processing text files -- and you�ll get practice using the Linux command line on a virtual machine. And, this might feel like a stretch right now, but you�ll also write a program that processes a bunch of errors in an actual log file and then generates a summary file. That�s a super useful skill for IT Specialists to know.  We�ll kick off by exploring how to execute Python locally, and organize and use code across different Python files. We'll then learn how to read and write different types of files, and use subprocesses and input streams. We'll also dive into Bash scripting and regular expressions -- both very powerful tools for anyone working with systems. We'll even touch on automatic testing, which allow us to automate how we check if our code is correct. To finish, we�ll put all this together by using the tools that we�ve acquired to process data and generate automatic reports.  We�ll also explain how to set up your own developer environment in your machine. This is a key step in being able to write and deploy powerful automation tools."
Forensic Accounting and Fraud Examination,forensic-accounting,West Virginia University,Not specified,Beginner,4.7,No reviews,https://www.coursera.org/learn/forensic-accounting,Audit  Accounting  internal control  internality  forensics  fraud deterrence  analysis  forensic accounting  Fraud Detection  Fraud Investigation business finance,"Everyday across the world, thousands of businesses are victimized by fraud.  Who commits these bad acts?  Why? And, how? In this course we are going to help you answer the questions: who commits fraud, why and how.  We�ll also help you develop skills for catching them."
Introduction to Programming with MATLAB,matlab,Vanderbilt University,Not specified,Conversant,4.8,No reviews,https://www.coursera.org/learn/matlab,principle  Matlab  Programming Principles  Problem Solving  programming tool  Computer Programming  matrices  computer program  logic  language computer-science software-development,"This course teaches computer programming to those with little to no previous experience. It uses the programming system and language called MATLAB to do so because it is easy to learn, versatile and very useful for engineers and other professionals. MATLAB is a special-purpose language that is an excellent choice for writing moderate-size programs that solve problems involving the manipulation of numbers. The design of the language makes it possible to write a powerful program in a few lines. The problems may be relatively complex, while the MATLAB programs that solve them are relatively simple: relative, that is, to the equivalent program written in a general-purpose language, such as C++ or Java. As a result, MATLAB is being used in a wide variety of domains from the natural sciences, through all disciplines of engineering, to finance, and beyond, and it is heavily used in industry. Hence, a solid background in MATLAB is an indispensable skill in today�s job market.  Nevertheless, this course is not a MATLAB tutorial. It is an introductory programming course that uses MATLAB to illustrate general concepts in computer science and programming. Students who successfully complete this course will become familiar with general concepts in computer science, gain an understanding of the general concepts of programming, and obtain a solid foundation in the use of MATLAB.  Students taking the course will get a MATLAB Online license free of charge for the duration of the course. The students are encouraged to consult the eBook that this course is based on. More information about these resources can be found on the Resources menu on the right."
Seeing Through Photographs,photography,The Museum of Modern Art,Not specified,Intermediate,4.8,No reviews,https://www.coursera.org/learn/photography,essay writing  Critical Thinking  observation  photography  history  Photo Essays  Art History  art  analysis  Creativity arts-and-humanities music-and-art,"Taking, sharing, and viewing photographs has become second nature for many of us. Given our near-constant engagement with images this course will help you dig into the meaning of pictures and reconsider photography�s role in our visual culture. This course aims to address the gap between seeing and truly understanding photographs by introducing a diversity of ideas, approaches, and technologies that inform their making.   In this course you will look closely at 100 photographs from the collection of The Museum of Modern Art, going behind the scenes of the Museum and into artist studios through original films and audio interviews. You will hear a variety of perspectives on the ways photography has been used throughout its 180-year history: as a means of artistic expression, a tool for science and exploration, an instrument of documentation, a way to tell stories and record histories, and a mode of communication and critique. Short texts and readings from MoMA publications provide enhanced context for the works in the course.   By enrolling in this course, you�ll join a community of international learners in discussion forums, receive invitations to live and virtual events from our lead instructor Sarah Meister, and gain exclusive access to MoMA resources.  UPDATE: We�ve been listening to your feedback! In September 2020, we launched new content in Seeing Through Photographs, including audio interviews with additional contemporary artists from around the world, videos of Sarah introducing key ideas, and almost doubling the number of photographs from the collection. We�ve also added opportunities for you to share and receive feedback on your photographs in the discussion forums."
Excel Skills for Business: Intermediate II,excel-intermediate-2,Macquarie University,Not specified,Beginner,4.8,No reviews,https://www.coursera.org/learn/excel-intermediate-2,modeling  Microsoft Excel  data validation  index  microsoft excel macro  microsoft excel vba  macro (computer science)  Data Model  solver  lookup table business business-essentials,"Spreadsheet software remains one of the most ubiquitous pieces of software used in workplaces across the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. In this third course of our Excel specialization Excel Skills for Business you will delve deeper into some of the most powerful features Excel has to offer. When you have successfully completed the course you will be able to  Check for and prevent errors in spreadsheets;  Create powerful automation in spreadsheets;  Apply Advanced formulas and conditional logic to help make informed business decisions; and Create spreadsheets that help forecast and model data.   Once again, we have brought together a great teaching team that will be with you every step of the way. Nicky, Prashan and myself will guide you through each week. As we are exploring these more Advanced topics, we are following Alex who is an Excel consultant called in by businesses that experience issues with their spreadsheets."
Introduction to Environmental Law and Policy,environmental-law,The University of North Carolina at Chapel Hill,Not specified,Beginner,4.8,No reviews,https://www.coursera.org/learn/environmental-law,international law  common law  Environmental Policy  Environmental Law  law  Legal Analysis  pollution  analysis  policy analysis  Environmental Protection social-sciences law,"Environmental law may be the one institution standing between us and planetary exhaustion. It is also an institution that needs to be reconciled with human liberty and economic aspirations. This course considers these issues and provides a tour though existing legal regimes governing pollution, water law, endangered species, toxic substances, environmental impact analyses, and environmental risk.  Note: The�Environmental Law & Policy Course will close for new learner enrollment on February 22, 2019. Learners who have already enrolled will continue to see it on their Coursera Dashboard as long as they remain enrolled in the course. If you are currently enrolled in this course, please see the announcement sent on February 19, 2019, for additional details."
